,ppm,Feature Name
3418,2.129025805,2.129025805
3419,2.126825365,2.126825365
3420,2.124624925,2.124624925
3421,2.122424485,2.122424485
3422,2.120224045,2.120224045
3423,2.118023605,2.118023605
3424,2.115823165,2.115823165
3425,2.113622725,2.113622725
3426,2.111422284,2.111422284
3427,2.109221844,2.109221844
3428,2.107021404,2.107021404
3429,2.104820964,2.104820964
3430,2.102620524,2.102620524
3431,2.100420084,2.100420084
3432,2.098219644,2.098219644
3433,2.096019204,2.096019204
3434,2.093818764,2.093818764
3435,2.091618324,2.091618324
3436,2.089417884,2.089417884
3437,2.087217443,2.087217443
3438,2.085017003,2.085017003
3439,2.082816563,2.082816563
3440,2.080616123,2.080616123
3441,2.078415683,2.078415683
3442,2.076215243,2.076215243
3443,2.074014803,2.074014803
3444,2.071814363,2.071814363
3445,2.069613923,2.069613923
3446,2.067413483,2.067413483
3447,2.065213043,2.065213043
3448,2.063012603,2.063012603
3449,2.060812162,2.060812162
3450,2.058611722,2.058611722
3451,2.056411282,2.056411282
3452,2.054210842,2.054210842
3453,2.052010402,2.052010402
3454,2.049809962,2.049809962
3455,2.047609522,2.047609522
3456,2.045409082,2.045409082
3457,2.043208642,2.043208642
3458,2.041008202,2.041008202
3459,2.038807762,2.038807762
3460,2.036607321,2.036607321
3461,2.034406881,2.034406881
3462,2.032206441,2.032206441
3463,2.030006001,2.030006001
3464,2.027805561,2.027805561
3465,2.025605121,2.025605121
3466,2.023404681,2.023404681
3467,2.021204241,2.021204241
3468,2.019003801,2.019003801
3469,2.016803361,2.016803361
3470,2.014602921,2.014602921
3471,2.01240248,2.01240248
3472,2.01020204,2.01020204
3473,2.0080016,2.0080016
3474,2.00580116,2.00580116
3475,2.00360072,2.00360072
3476,2.00140028,2.00140028
3477,1.99919984,1.99919984
3478,1.9969994,1.9969994
3479,1.99479896,1.99479896
3480,1.99259852,1.99259852
3481,1.99039808,1.99039808
3482,1.98819764,1.98819764
3483,1.985997199,1.985997199
3484,1.983796759,1.983796759
3485,1.981596319,1.981596319
3486,1.979395879,1.979395879
3487,1.977195439,1.977195439
3488,1.974994999,1.974994999
3489,1.972794559,1.972794559
3490,1.970594119,1.970594119
3491,1.968393679,1.968393679
3492,1.966193239,1.966193239
3493,1.963992799,1.963992799
3494,1.961792358,1.961792358
3495,1.959591918,1.959591918
3496,1.957391478,1.957391478
3497,1.955191038,1.955191038
3498,1.952990598,1.952990598
3499,1.950790158,1.950790158
3500,1.948589718,1.948589718
3501,1.946389278,1.946389278
3502,1.944188838,1.944188838
3503,1.941988398,1.941988398
3504,1.939787958,1.939787958
3505,1.937587518,1.937587518
3506,1.935387077,1.935387077
3507,1.933186637,1.933186637
3508,1.930986197,1.930986197
3509,1.928785757,1.928785757
3510,1.926585317,1.926585317
3511,1.924384877,1.924384877
3512,1.922184437,1.922184437
3513,1.919983997,1.919983997
3514,1.917783557,1.917783557
3515,1.915583117,1.915583117
3516,1.913382677,1.913382677
3517,1.911182236,1.911182236
3518,1.908981796,1.908981796
3519,1.906781356,1.906781356
3520,1.904580916,1.904580916
3521,1.902380476,1.902380476
3522,1.900180036,1.900180036
3523,1.897979596,1.897979596
3524,1.895779156,1.895779156
3525,1.893578716,1.893578716
3526,1.891378276,1.891378276
3527,1.889177836,1.889177836
3528,1.886977395,1.886977395
3529,1.884776955,1.884776955
3530,1.882576515,1.882576515
3531,1.880376075,1.880376075
3532,1.878175635,1.878175635
3533,1.875975195,1.875975195
3534,1.873774755,1.873774755
3535,1.871574315,1.871574315
3536,1.869373875,1.869373875
3537,1.867173435,1.867173435
3538,1.864972995,1.864972995
3539,1.862772555,1.862772555
3540,1.860572114,1.860572114
3541,1.858371674,1.858371674
3542,1.856171234,1.856171234
3543,1.853970794,1.853970794
3544,1.851770354,1.851770354
3545,1.849569914,1.849569914
3546,1.847369474,1.847369474
3547,1.845169034,1.845169034
3548,1.842968594,1.842968594
3549,1.840768154,1.840768154
3550,1.838567714,1.838567714
3551,1.836367273,1.836367273
3552,1.834166833,1.834166833
3553,1.831966393,1.831966393
3554,1.829765953,1.829765953
3555,1.827565513,1.827565513
3556,1.825365073,1.825365073
3557,1.823164633,1.823164633
3558,1.820964193,1.820964193
3559,1.818763753,1.818763753
3560,1.816563313,1.816563313
3561,1.814362873,1.814362873
3562,1.812162432,1.812162432
3563,1.809961992,1.809961992
3564,1.807761552,1.807761552
3565,1.805561112,1.805561112
3566,1.803360672,1.803360672
3567,1.801160232,1.801160232
3568,1.798959792,1.798959792
3569,1.796759352,1.796759352
3570,1.794558912,1.794558912
3571,1.792358472,1.792358472
3572,1.790158032,1.790158032
3573,1.787957592,1.787957592
3574,1.785757151,1.785757151
3575,1.783556711,1.783556711
3576,1.781356271,1.781356271
3577,1.779155831,1.779155831
3578,1.776955391,1.776955391
3579,1.774754951,1.774754951
3580,1.772554511,1.772554511
3581,1.770354071,1.770354071
3582,1.768153631,1.768153631
3583,1.765953191,1.765953191
3584,1.763752751,1.763752751
3585,1.76155231,1.76155231
3586,1.75935187,1.75935187
3587,1.75715143,1.75715143
